yearmoth  min	  5th	   med	    95th     max
195807   14.38    18.86    48.98    77.33    88.38 
195808   11.52    19.99    48.26    76.34    79.50 
195809   15.93    16.50    36.66    66.03    84.67 
195810    8.38     8.86    40.20    97.02   105.89 
195811   18.52    19.99    45.19    77.63    79.49 
195812   13.22    15.99    41.15    98.49   100.16 
195901    7.31    10.69    37.60    94.09   140.95 
195902    4.65    19.72    41.09    81.94   113.62 
195903   23.39    24.28    59.92    86.90    87.57 
195904   24.28    30.27    67.52    95.93    97.75 
195905   31.49    35.62    59.19   102.73   109.10 
195906   11.41    14.34    43.46    87.20    95.20 
195907   22.62    24.29    59.14    90.32    95.61 
195908   10.50    16.64    46.29    89.79   102.92 
195909    7.53    10.68    41.58    91.32   122.94 
195910    5.48    13.21    41.43    92.40    95.88 
195911    8.89    17.47    48.00    95.13    95.96 
195912   18.55    20.43    52.27    96.77   112.75 
196001    6.47    13.60    47.85    90.88   101.74 
196002   15.24    16.96    40.48    96.27   101.61 
196003    5.58    15.42    56.26    86.26   108.31 
196004   21.05    37.28    66.94    93.17   102.20 
196005   17.55    27.50    60.79   103.45   130.34 
196006    8.85    22.32    50.08    70.70    83.07 
196007   17.26    26.33    49.94    80.63   106.22 
196008   12.13    16.59    40.55   100.66   102.80 
196009    8.31     9.89    31.31    59.70    86.89 
196010   12.51    13.71    46.92    90.11    92.07 
196011    8.61    15.08    47.73    80.20    90.44 
196012   15.24    17.56    50.36   103.79   125.84 
196101    6.43    11.48    38.24    83.96    97.86 
196102    1.86    10.93    42.47    85.57   130.68 
196103   30.09    33.01    58.18    94.76    98.46 
196104   28.04    32.05    62.35   100.58   108.22 
196105   12.05    27.00    69.17   106.10   107.19 
196106   13.50    17.06    43.41    93.75   124.43 
196107   21.36    23.95    48.30    81.40    86.48 
196108   10.21    18.87    54.36    96.32    96.83 
196109    5.83    10.55    41.70    75.78    93.12 
196110    8.77    13.81    39.98    70.76    71.66 
196111   12.25    12.90    42.54    83.11    99.40 
196112   16.97    17.30    50.56    99.83   116.84 
196201    5.49     6.33    27.56    85.67   106.35 
196202    5.78    13.85    39.27    83.92    90.63 
196203   22.96    29.47    59.86    84.04    85.03 
196204   18.71    19.57    60.29    99.57   101.42 
196205   27.40    32.03    54.32   101.34   127.58 
196206   17.99    19.75    38.17    96.74   111.26 
196207   17.71    20.89    47.68    87.16    93.23 
196208   10.07    10.93    50.92    85.11    94.30 
196209   11.01    12.84    43.31    82.11   100.00 
196210    8.30    13.01    51.24    83.67    90.41 
196211   14.31    18.24    49.84   103.04   110.32 
196212   12.68    22.59    46.95    83.56    99.26 
196301    6.83    10.68    46.34   148.86   190.74 
196302    3.27    16.85    44.94    72.79    89.99 
196303   35.28    37.55    58.76    97.27   106.43 
196304   17.44    28.32    65.70    90.06    91.57 
196305   25.73    31.24    65.61   104.96   105.34 
196306   13.67    16.05    46.33    88.47    98.05 
196307   11.86    22.73    55.14    92.79    94.98 
196308   15.50    24.77    57.12    81.25   102.29 
196309    9.48     9.66    40.60    87.46    90.42 
196310   14.75    14.88    47.77    81.92    84.36 
196311    8.90    13.44    48.96    80.21    90.67 
196312    9.78    27.32    47.51   100.73   109.66 
196401   10.24    16.27    33.93   110.71   111.00 
196402    8.74    19.81    35.20    92.57   112.19 
196403   20.71    28.35    66.90   102.78   111.26 
196404   16.50    35.85    60.63    99.84   105.06 
196405   31.48    36.36    68.96   110.70   138.16 
196406   19.67    19.70    52.44    84.46   106.39 
196407   18.21    18.93    48.68    82.19    90.78 
196408   14.64    20.31    44.38    87.99    89.00 
196409    7.12     7.48    40.19    70.95    73.96 
196410   13.28    15.45    44.11    84.37   107.53 
196411   13.14    25.27    48.67   103.04   103.28 
196412    6.22    14.23    46.83    99.28   117.17 
196501   12.55    13.76    37.90    88.94   122.38 
196502   12.63    14.42    49.71   105.02   105.70 
196503   21.02    25.77    58.04    93.10    95.73 
196504   24.15    29.71    58.78    89.33   112.59 
196505   16.50    34.34    70.86   114.88   118.24 
196506   18.49    22.63    47.89   103.05   112.35 
196507   16.75    21.51    46.20    98.40   118.76 
196508    4.98    19.75    47.08    87.37   112.31 
196509    4.87     8.26    35.99    71.87    73.91 
196510    5.61    10.51    37.59    82.12    89.70 
196511   12.05    17.61    40.19    70.83    77.28 
196512   11.57    23.82    47.73   101.27   114.19 
196601    4.91    10.18    45.31    68.35    72.04 
196602    8.84    10.23    45.87    82.13   104.19 
196603   24.78    29.92    54.41    90.21   116.31 
196604   28.98    36.99    58.30    88.86    96.12 
196605   17.05    28.87    61.96   114.11   117.63 
196606   11.15    11.30    45.71    79.94    88.46 
196607   17.48    18.43    52.10    99.64   101.34 
196608   10.07    12.30    39.66    75.36    92.57 
196609    6.49     9.37    31.02    72.55    91.19 
196610   10.77    14.16    47.41    72.09    74.54 
196611   14.24    24.26    46.47    89.69   100.52 
196612    6.46     7.12    42.50   110.06   110.89 
196701   10.35    16.74    45.13    99.61   134.30 
196702    0.74     3.45    42.57    99.77   111.45 
196703   27.78    29.93    59.59    94.46   100.72 
196704   22.25    27.95    58.30   111.08   114.17 
196705   25.07    30.19    61.59   105.40   105.88 
196706   12.84    16.79    41.09   106.42   113.20 
196707   12.05    17.40    37.52    80.86    87.37 
196708   14.63    22.99    44.09    78.27    88.87 
196709   12.01    16.26    39.03    74.04    94.19 
196710   18.83    20.10    44.37    76.90    89.59 
196711   12.15    17.96    45.43    80.17    83.78 
196712   16.47    17.52    40.46    81.55   122.93 
196801    5.05     6.38    38.07    82.39    95.89 
196802    4.74    12.64    36.93   105.52   106.66 
